Municipi;Municipi forma indexada;Cap de municipi;Cap de municipi indexada;Codi municipi;Codi municipi INE;Comarca;Codi comarca;Abreviatura comarca;Província;Codi província;UTM X;UTM Y;Longitud;Latitud
Ogassa;Ogassa;Ogassa;Ogassa;171122;17112;Ripollès;31;RIP;Girona;17;440360;4679558;2.276852176;42.265950012
Pardines;Pardines;Pardines;Pardines;171254;17125;Ripollès;31;RIP;Girona;17;435185;4684742;2.213525583;42.312220372
Planoles;Planoles;Planoles;Planoles;171349;17134;Ripollès;31;RIP;Girona;17;426145;4685283;2.103769293;42.316282623
Queralbs;Queralbs;Queralbs;Queralbs;170433;17043;Ripollès;31;RIP;Girona;17;431040;4688820;2.162746129;42.348583114
Ribes de Freser;Ribes de Freser;Ribes de Freser;Ribes de Freser;171450;17145;Ripollès;31;RIP;Girona;17;431397;4684106;2.167638307;42.306166316
Ripoll;Ripoll;Ripoll;Ripoll;171479;17147;Ripollès;31;RIP;Girona;17;433177;4672396;2.190587139;42.200866756
Sant Joan de les Abadesses;Sant Joan de les Abadesses;Sant Joan de les Abadesses;Sant Joan de les Abadesses;171674;17167;Ripollès;31;RIP;Girona;17;440987;4675869;2.284821954;42.23277865
Sant Pau de Segúries;Sant Pau de Segúries;Sant Pau de Segúries;Sant Pau de Segúries;171772;17177;Ripollès;31;RIP;Girona;17;447620;4678935;2.364922292;42.26086051
Setcases;Setcases;Setcases;Setcases;171925;17192;Ripollès;31;RIP;Girona;17;442467;4691691;2.30117955;42.375371225
Toses;Toses;Toses;Toses;172018;17201;Ripollès;31;RIP;Girona;17;419000;4685957;2.016986439;42.321643679
Vallfogona de Ripollès;Vallfogona de Ripollès;Vallfogona de Ripollès;Vallfogona de Ripollès;171707;17170;Ripollès;31;RIP;Girona;17;442505;4671705;2.303632757;42.195385739
Vilallonga de Ter;Vilallonga de Ter;Vilallonga de Ter;Vilallonga de Ter;172240;17224;Ripollès;31;RIP;Girona;17;443329;4686774;2.312139512;42.33115611
les Llosses;Llosses, les;les Llosses;Llosses, les;170963;17096;Ripollès;31;RIP;Girona;17;427029;4666869;2.116808189;42.150545655
Cervera;Cervera;Cervera;Cervera;250729;25072;Segarra;32;SGA;Lleida;25;356061;4614109;1.271020203;41.665741746
Estaràs;Estaràs;Estaràs;Estaràs;250851;25085;Segarra;32;SGA;Lleida;25;365042;4616805;1.37825372;41.691586366
Granyena de Segarra;Granyena de Segarra;Granyena de Segarra;Granyena de Segarra;251044;25104;Segarra;32;SGA;Lleida;25;353953;4609461;1.246857472;41.623510787
Guissona;Guissona;Guissona;Guissona;251109;25110;Segarra;32;SGA;Lleida;25;357797;4627342;1.288706212;41.785190662
Ivorra;Ivorra;Ivorra;Ivorra;251142;25114;Segarra;32;SGA;Lleida;25;366657;4625709;1.395657482;41.772023735
Massoteres;Massoteres;Massoteres;Massoteres;251327;25132;Segarra;32;SGA;Lleida;25;359654;4628671;1.310738284;41.797486396
Montoliu de Segarra;Montoliu de Segarra;Montoliu de Segarra;Montoliu de Segarra;251410;25141;Segarra;32;SGA;Lleida;25;355816;4605712;1.270111952;41.590097815
Montornès de Segarra;Montornès de Segarra;Montornès de Segarra;Montornès de Segarra;251431;25143;Segarra;32;SGA;Lleida;25;352461;4606963;1.229567753;41.600744694
Sanaüja;Sanaüja;Sanaüja;Sanaüja;251919;25191;Segarra;32;SGA;Lleida;25;359832;4637421;1.310801656;41.876295836
Ribera d'Ondara;Ribera d'Ondara;Sant Antolí i Vilanova;Sant Antolí i Vilanova;259059;25905;Segarra;32;SGA;Lleida;25;361798;4609536;1.340967564;41.625584719
Sant Guim de Freixenet;Sant Guim de Freixenet;Sant Guim de Freixenet;Sant Guim de Freixenet;251924;25192;Segarra;32;SGA;Lleida;25;368326;4612755;1.418591093;41.655667748
Sant Guim de la Plana;Sant Guim de la Plana;Sant Guim de la Plana;Sant Guim de la Plana;251977;25197;Segarra;32;SGA;Lleida;25;360688;4624814;1.324076516;41.762941427
Sant Ramon;Sant Ramon;Sant Ramon;Sant Ramon;251945;25194;Segarra;32;SGA;Lleida;25;363418;4620495;1.357902627;41.724532724
Talavera;Talavera;Talavera;Talavera;252167;25216;Segarra;32;SGA;Lleida;25;361475;4604707;1.338203694;41.582053855
Tarroja de Segarra;Tarroja de Segarra;Tarroja de Segarra;Tarroja de Segarra;252192;25219;Segarra;32;SGA;Lleida;25;356473;4621288;1.274248;41.730447949
Torrefeta i Florejacs;Torrefeta i Florejacs;Torrefeta;Torrefeta;259078;25907;Segarra;32;SGA;Lleida;25;356480;4623905;1.27370028;41.754010508
Granyanella;Granyanella;la Curullada;Curullada, la;251039;25103;Segarra;32;SGA;Lleida;25;352483;4614181;1.228047765;41.665734367
les Oluges;Oluges, les;les Oluges;Oluges, les;251522;25152;Segarra;32;SGA;Lleida;25;360117;4617525;1.318928401;41.697221095
els Plans de Sió;Plans de Sió, els;les Pallargues;Pallargues, les;259118;25911;Segarra;32;SGA;Lleida;25;350137;4624929;1.19717837;41.762058947
Aitona;Aitona;Aitona;Aitona;250387;25038;Segrià;33;SGR;Lleida;25;287883;4596733;0.458875465;41.494156354
Albatàrrec;Albatàrrec;Albatàrrec;Albatàrrec;250077;25007;Segrià;33;SGR;Lleida;25;300254;4605149;0.604158956;41.573075993
Alcanó;Alcanó;Alcanó;Alcanó;250100;25010;Segrià;33;SGR;Lleida;25;301025;4594924;0.616776692;41.481244824
Alcarràs;Alcarràs;Alcarràs;Alcarràs;250117;25011;Segrià;33;SGR;Lleida;25;293639;4604230;0.525200819;41.563128446
Alcoletge;Alcoletge;Alcoletge;Alcoletge;250122;25012;Segrià;33;SGR;Lleida;25;307979;4613186;0.694161884;41.647304165
Alfarràs;Alfarràs;Alfarràs;Alfarràs;250138;25013;Segrià;33;SGR;Lleida;25;298247;4633701;0.570449974;41.829515718
Alfés;Alfés;Alfés;Alfés;250143;25014;Segrià;33;SGR;Lleida;25;301501;4599397;0.62100072;41.521618423
Alguaire;Alguaire;Alguaire;Alguaire;250169;25016;Segrià;33;SGR;Lleida;25;299068;4623326;0.583830422;41.736353947
Almacelles;Almacelles;Almacelles;Almacelles;250194;25019;Segrià;33;SGR;Lleida;25;286849;4623167;0.437094544;41.731744261
Almatret;Almatret;Almatret;Almatret;250208;25020;Segrià;33;SGR;Lleida;25;284359;4575853;0.424135707;41.305328646
Almenar;Almenar;Almenar;Almenar;250215;25021;Segrià;33;SGR;Lleida;25;297936;4630191;0.567895095;41.797843999
Alpicat;Alpicat;Alpicat;Alpicat;250236;25023;Segrià;33;SGR;Lleida;25;296467;4615652;0.555198295;41.666634379
Artesa de Lleida;Artesa de Lleida;Artesa de Lleida;Artesa de Lleida;250334;25033;Segrià;33;SGR;Lleida;25;308489;4602560;0.70367123;41.55179061
Aspa;Aspa;Aspa;Aspa;250365;25036;Segrià;33;SGR;Lleida;25;305706;4596390;0.672325006;41.495591607
Benavent de Segrià;Benavent de Segrià;Benavent de Segrià;Benavent de Segrià;250539;25053;Segrià;33;SGR;Lleida;25;303036;4618723;0.633031977;41.695925504
Corbins;Corbins;Corbins;Corbins;250788;25078;Segrià;33;SGR;Lleida;25;308010;4617999;0.692989787;41.690621576
Gimenells i el Pla de la Font;Gimenells i el Pla de la Font;Gimenells;Gimenells;259123;25912;Segrià;33;SGR;Lleida;25;282626;4614467;0.38953973;41.652321455
Llardecans;Llardecans;Llardecans;Llardecans;251253;25125;Segrià;33;SGR;Lleida;25;295117;4583176;0.550051577;41.374032992
Lleida;Lleida;Lleida;Lleida;251207;25120;Segrià;33;SGR;Lleida;25;302257;4609732;0.626648769;41.614813757
Maials;Maials;Maials;Maials;251333;25133;Segrià;33;SGR;Lleida;25;291267;4582261;0.504374083;41.364813558
Massalcoreig;Massalcoreig;Massalcoreig;Massalcoreig;251312;25131;Segrià;33;SGR;Lleida;25;279432;4593098;0.359062697;41.459164936
Montoliu de Lleida;Montoliu de Lleida;Montoliu de Lleida;Montoliu de Lleida;251425;25142;Segrià;33;SGR;Lleida;25;298944;4603796;0.58890293;41.560567123
Puigverd de Lleida;Puigverd de Lleida;Puigverd de Lleida;Puigverd de Lleida;251826;25182;Segrià;33;SGR;Lleida;25;310913;4601553;0.733030421;41.543303082
Rosselló;Rosselló;Rosselló;Rosselló;251898;25189;Segrià;33;SGR;Lleida;25;299883;4618517;0.595233971;41.693287511
Sarroca de Lleida;Sarroca de Lleida;Sarroca de Lleida;Sarroca de Lleida;252000;25200;Segrià;33;SGR;Lleida;25;296385;4592519;0.562054227;41.458434376
Seròs;Seròs;Seròs;Seròs;252043;25204;Segrià;33;SGR;Lleida;25;283663;4593428;0.409552253;41.463292262
Soses;Soses;Soses;Soses;252108;25210;Segrià;33;SGR;Lleida;25;290398;4600992;0.487489382;41.533146006
Sudanell;Sudanell;Sudanell;Sudanell;252115;25211;Segrià;33;SGR;Lleida;25;297127;4603518;0.567232421;41.557613287
Sunyer;Sunyer;Sunyer;Sunyer;252120;25212;Segrià;33;SGR;Lleida;25;299171;4599644;0.593018412;41.523258118
Torre-serona;Torre-serona;Torre-serona;Torre-serona;252332;25233;Segrià;33;SGR;Lleida;25;302654;4616060;0.629325377;41.671862234
Torrebesses;Torrebesses;Torrebesses;Torrebesses;252265;25226;Segrià;33;SGR;Lleida;25;299046;4588912;0.595093687;41.426648148
Torrefarrera;Torrefarrera;Torrefarrera;Torrefarrera;252287;25228;Segrià;33;SGR;Lleida;25;300770;4616262;0.606638548;41.673216214
Torres de Segre;Torres de Segre;Torres de Segre;Torres de Segre;252326;25232;Segrià;33;SGR;Lleida;25;292581;4601165;0.51357715;41.535264505
Vilanova de Segrià;Vilanova de Segrià;Vilanova de Segrià;Vilanova de Segrià;252516;25251;Segrià;33;SGR;Lleida;25;301906;4620612;0.618834708;41.712645181
Vilanova de la Barca;Vilanova de la Barca;Vilanova de la Barca;Vilanova de la Barca;252542;25254;Segrià;33;SGR;Lleida;25;311012;4617967;0.72904341;41.691058074
els Alamús;Alamús, els;els Alamús;Alamús, els;250045;25004;Segrià;33;SGR;Lleida;25;311666;4609598;0.739536227;41.615888615
la Granja d'Escarp;Granja d'Escarp, la;la Granja d'Escarp;Granja d'Escarp, la;251023;25102;Segrià;33;SGR;Lleida;25;278722;4588593;0.352225093;41.418438851
la Portella;Portella, la;la Portella;Portella, la;251749;25174;Segrià;33;SGR;Lleida;25;303694;4623590;0.639320944;41.739889487
Amer;Amer;Amer;Amer;170078;17007;Selva;34;SEL;Girona;17;467128;4650879;2.603018891;42.00924462
Anglès;Anglès;Anglès;Anglès;170084;17008;Selva;34;SEL;Girona;17;470171;4645114;2.640058649;41.957446412
Arbúcies;Arbúcies;Arbúcies;Arbúcies;170097;17009;Selva;34;SEL;Girona;17;459649;4629470;2.514167946;41.816080579
Blanes;Blanes;Blanes;Blanes;170237;17023;Selva;34;SEL;Girona;17;482721;4613799;2.79240678;41.675766459
Sant Julià del Llor i Bonmatí;Sant Julià del Llor i Bonmatí;Bonmatí;Bonmatí;179032;17903;Selva;34;SEL;Girona;17;472169;4646545;2.664109899;41.970410145
Breda;Breda;Breda;Breda;170274;17027;Selva;34;SEL;Girona;17;463164;4621952;2.556951659;41.748538982
Brunyola i Sant Martí Sapresa;Brunyola i Sant Martí Sapresa;Brunyola;Brunyola;170280;17028;Selva;34;SEL;Girona;17;473815;4639227;2.684296786;41.904551162
Caldes de Malavella;Caldes de Malavella;Caldes de Malavella;Caldes de Malavella;170335;17033;Selva;34;SEL;Girona;17;484187;4631907;2.809537259;41.838900402
Riells i Viabrea;Riells i Viabrea;Can Salvà;Can Salvà;171463;17146;Selva;34;SEL;Girona;17;463251;4619361;2.558162486;41.725201826
Fogars de la Selva;Fogars de la Selva;Fogars de la Selva;Fogars de la Selva;080826;08082;Selva;34;SEL;Barcelona;08;472694;4620408;2.671644331;41.735011503
Hostalric;Hostalric;Hostalric;Hostalric;170834;17083;Selva;34;SEL;Girona;17;469804;4621638;2.636836674;41.74599253
Lloret de Mar;Lloret de Mar;Lloret de Mar;Lloret de Mar;170950;17095;Selva;34;SEL;Girona;17;487283;4616420;2.847167472;41.699465931
Massanes;Massanes;Massanes;Massanes;171019;17101;Selva;34;SEL;Girona;17;471056;4623844;2.65177868;41.765902174
Maçanet de la Selva;Maçanet de la Selva;Maçanet de la Selva;Maçanet de la Selva;171030;17103;Selva;34;SEL;Girona;17;477631;4625102;2.730836365;41.777448562
Osor;Osor;Osor;Osor;171169;17116;Selva;34;SEL;Girona;17;463321;4643817;2.55748816;41.945470221
Riudarenes;Riudarenes;Riudarenes;Riudarenes;171485;17148;Selva;34;SEL;Girona;17;476501;4630117;2.717045116;41.82258709
Riudellots de la Selva;Riudellots de la Selva;Riudellots de la Selva;Riudellots de la Selva;171501;17150;Selva;34;SEL;Girona;17;483682;4637895;2.803296238;41.892818132
Sant Feliu de Buixalleu;Sant Feliu de Buixalleu;Sant Feliu de Buixalleu;Sant Feliu de Buixalleu;171595;17159;Selva;34;SEL;Girona;17;467367;4620472;2.607588551;41.735390075
Sant Hilari Sacalm;Sant Hilari Sacalm;Sant Hilari Sacalm;Sant Hilari Sacalm;171642;17164;Selva;34;SEL;Girona;17;459240;4636478;2.508763908;41.879177604
Susqueda;Susqueda;Sant Martí Sacalm;Sant Martí Sacalm;171946;17194;Selva;34;SEL;Girona;17;462490;4651490;2.546977827;42.014545001
Santa Coloma de Farners;Santa Coloma de Farners;Santa Coloma de Farners;Santa Coloma de Farners;171805;17180;Selva;34;SEL;Girona;17;472002;4634740;2.662652048;41.864076499
Sils;Sils;Sils;Sils;171931;17193;Selva;34;SEL;Girona;17;478647;4628805;2.742934015;41.81082984
Tossa de Mar;Tossa de Mar;Tossa de Mar;Tossa de Mar;172023;17202;Selva;34;SEL;Girona;17;494280;4618470;2.931230066;41.718007599
Vidreres;Vidreres;Vidreres;Vidreres;172137;17213;Selva;34;SEL;Girona;17;481655;4626360;2.779222911;41.788884342
Vilobí d'Onyar;Vilobí d'Onyar;Vilobí d'Onyar;Vilobí d'Onyar;172333;17233;Selva;34;SEL;Girona;17;478641;4637429;2.742548231;41.888505963
la Cellera de Ter;Cellera de Ter, la;la Cellera de Ter;Cellera de Ter, la;171899;17189;Selva;34;SEL;Girona;17;468575;4646327;2.620736596;41.968304119
Biosca;Biosca;Biosca;Biosca;250557;25055;Solsonès;35;SOL;Lleida;25;363738;4633567;1.358748948;41.842277682
Odèn;Odèn;Cambrils;Cambrils;251484;25148;Solsonès;35;SOL;Lleida;25;366716;4665835;1.38728764;42.133294896
Castellar de la Ribera;Castellar de la Ribera;Castellar de la Ribera;Castellar de la Ribera;250642;25064;Solsonès;35;SOL;Lleida;25;368862;4653509;1.415999097;42.022693092
Clariana de Cardener;Clariana de Cardener;Clariana de Cardener;Clariana de Cardener;250753;25075;Solsonès;35;SOL;Lleida;25;386009;4643345;1.625028279;41.933846234
Lladurs;Lladurs;Lladurs;Lladurs;251240;25124;Solsonès;35;SOL;Lleida;25;376542;4655812;1.508250669;42.044666674
Llobera;Llobera;Llobera;Llobera;251291;25129;Solsonès;35;SOL;Lleida;25;372560;4642285;1.463082434;41.922242534
Navès;Navès;Navès;Navès;251462;25146;Solsonès;35;SOL;Lleida;25;387360;4649649;1.64011245;41.990796996
Pinós;Pinós;Pinós;Pinós;251673;25167;Solsonès;35;SOL;Lleida;25;378773;4632815;1.539931968;41.837957458
Pinell de Solsonès;Pinell de Solsonès;Sant Climenç;Sant Climenç;251667;25166;Solsonès;35;SOL;Lleida;25;368938;4645465;1.418708558;41.950276466
Sant Llorenç de Morunys;Sant Llorenç de Morunys;Sant Llorenç de Morunys;Sant Llorenç de Morunys;251930;25193;Solsonès;35;SOL;Lleida;25;383633;4665951;1.591892963;42.137034726
Solsona;Solsona;Solsona;Solsona;252075;25207;Solsonès;35;SOL;Lleida;25;377267;4650211;1.518177593;41.994348446
Torà;Torà;Torà;Torà;252234;25223;Solsonès;35;SOL;Lleida;25;367333;4630221;1.402776614;41.81276729
Guixers;Guixers;Valls;Valls;251116;25111;Solsonès;35;SOL;Lleida;25;389804;4665356;1.666657653;42.132570093
Riner;Riner;el Miracle;Miracle, el;251863;25186;Solsonès;35;SOL;Lleida;25;377677;4641335;1.524970684;41.914499342
Olius;Olius;el Pi de Sant Just;Pi de Sant Just, el;251517;25151;Solsonès;35;SOL;Lleida;25;380302;4648291;1.555208806;41.977528234
la Coma i la Pedra;Coma i la Pedra, la;la Coma;Coma, la;251636;25163;Solsonès;35;SOL;Lleida;25;383528;4670285;1.589748936;42.176048082
la Molsosa;Molsosa, la;la Molsosa;Molsosa, la;251364;25136;Solsonès;35;SOL;Lleida;25;379033;4627008;1.544244425;41.785706085
Altafulla;Altafulla;Altafulla;Altafulla;430120;43012;Tarragonès;36;TAR;Tarragona;43;363716;4555875;1.376050084;41.142750135
Constantí;Constantí;Constantí;Constantí;430477;43047;Tarragonès;36;TAR;Tarragona;43;350023;4557376;1.212592424;41.153854407
Creixell;Creixell;Creixell;Creixell;430509;43050;Tarragonès;36;TAR;Tarragona;43;369191;4558550;1.44069294;41.167743363
Perafort;Perafort;Perafort;Perafort;431037;43103;Tarragonès;36;TAR;Tarragona;43;353691;4561436;1.255320372;41.191072965
Renau;Renau;Renau;Renau;431227;43122;Tarragonès;36;TAR;Tarragona;43;358450;4565083;1.311192711;41.224758402
Roda de Berà;Roda de Berà;Roda de Berà;Roda de Berà;431310;43131;Tarragonès;36;TAR;Tarragona;43;370377;4560554;1.45440035;41.185978787
Salomó;Salomó;Salomó;Salomó;431359;43135;Tarragonès;36;TAR;Tarragona;43;363773;4565500;1.374588576;41.229424965
Salou;Salou;Salou;Salou;439057;43905;Tarragonès;36;TAR;Tarragona;43;343275;4549478;1.134226673;41.081471656
Tarragona;Tarragona;Tarragona;Tarragona;431482;43148;Tarragonès;36;TAR;Tarragona;43;353527;4553204;1.255330426;41.116927895
Torredembarra;Torredembarra;Torredembarra;Torredembarra;431536;43153;Tarragonès;36;TAR;Tarragona;43;365365;4556168;1.395631328;41.145661627
Vespella de Gaià;Vespella de Gaià;Vespella de Gaià;Vespella de Gaià;431649;43164;Tarragonès;36;TAR;Tarragona;43;362694;4561719;1.362570803;41.195199405
Vila-seca;Vila-seca;Vila-seca;Vila-seca;431711;43171;Tarragonès;36;TAR;Tarragona;43;344253;4552734;1.145039098;41.110971948
Vilallonga del Camp;Vilallonga del Camp;Vilallonga del Camp;Vilallonga del Camp;431665;43166;Tarragonès;36;TAR;Tarragona;43;349580;4563780;1.20574366;41.21142924
el Catllar;Catllar, el;el Catllar;Catllar, el;430430;43043;Tarragonès;36;TAR;Tarragona;43;359606;4559577;1.326250797;41.175380726
el Morell;Morell, el;el Morell;Morell, el;430957;43095;Tarragonès;36;TAR;Tarragona;43;349799;4561639;1.208875583;41.192191787
els Pallaresos;Pallaresos, els;els Pallaresos;Pallaresos, els;431009;43100;Tarragonès;36;TAR;Tarragona;43;354848;4559646;1.26952816;41.175170292
la Canonja;Canonja, la;la Canonja;Canonja, la;439076;43907;Tarragonès;36;TAR;Tarragona;43;347142;4554055;1.179098666;41.123413761
la Nou de Gaià;Nou de Gaià, la;la Nou de Gaià;Nou de Gaià, la;430976;43097;Tarragonès;36;TAR;Tarragona;43;363607;4560345;1.373760241;41.182986176
la Pobla de Mafumet;Pobla de Mafumet, la;la Pobla de Mafumet;Pobla de Mafumet, la;431093;43109;Tarragonès;36;TAR;Tarragona;43;349858;4561125;1.209706004;41.18757797
la Pobla de Montornès;Pobla de Montornès, la;la Pobla de Montornès;Pobla de Montornès, la;431114;43111;Tarragonès;36;TAR;Tarragona;43;367040;4559591;1.414836966;41.176764276
la Riera de Gaià;Riera de Gaià, la;la Riera de Gaià;Riera de Gaià, la;431264;43126;Tarragonès;36;TAR;Tarragona;43;362556;4558352;1.361681623;41.164855893
la Secuita;Secuita, la;la Secuita;Secuita, la;431444;43144;Tarragonès;36;TAR;Tarragona;43;355757;4562902;1.279593598;41.20464645
Arnes;Arnes;Arnes;Arnes;430189;43018;Terra Alta;37;TAL;Tarragona;43;269310;4532379;0.260882637;40.910005124
Batea;Batea;Batea;Batea;430228;43022;Terra Alta;37;TAL;Tarragona;43;274198;4552727;0.311413833;41.094462323
Bot;Bot;Bot;Bot;430326;43032;Terra Alta;37;TAL;Tarragona;43;280079;4543068;0.384818011;41.009156655
Caseres;Caseres;Caseres;Caseres;430419;43041;Terra Alta;37;TAL;Tarragona;43;268908;4546677;0.250766135;41.038538992
Corbera d'Ebre;Corbera d'Ebre;Corbera d'Ebre;Corbera d'Ebre;430483;43048;Terra Alta;37;TAL;Tarragona;43;288131;4550443;0.477947926;41.077660463
Gandesa;Gandesa;Gandesa;Gandesa;430640;43064;Terra Alta;37;TAL;Tarragona;43;284794;4547704;0.439214346;41.052136004
Horta de Sant Joan;Horta de Sant Joan;Horta de Sant Joan;Horta de Sant Joan;430712;43071;Terra Alta;37;TAL;Tarragona;43;274170;4537107;0.316800183;40.953905217
Prat de Comte;Prat de Comte;Prat de Comte;Prat de Comte;431172;43117;Terra Alta;37;TAL;Tarragona;43;281712;4540199;0.405234861;40.983775267
Vilalba dels Arcs;Vilalba dels Arcs;Vilalba dels Arcs;Vilalba dels Arcs;431750;43175;Terra Alta;37;TAL;Tarragona;43;282581;4555424;0.410180932;41.121014372
el Pinell de Brai;Pinell de Brai, el;el Pinell de Brai;Pinell de Brai, el;431068;43106;Terra Alta;37;TAL;Tarragona;43;290996;4543450;0.51439464;41.015469093
la Fatarella;Fatarella, la;la Fatarella;Fatarella, la;430568;43056;Terra Alta;37;TAL;Tarragona;43;288010;4559860;0.473250114;41.162369126
la Pobla de Massaluca;Pobla de Massaluca, la;la Pobla de Massaluca;Pobla de Massaluca, la;431107;43110;Terra Alta;37;TAL;Tarragona;43;278044;4562144;0.353761607;41.180257912
Agramunt;Agramunt;Agramunt;Agramunt;250030;25003;Urgell;38;URG;Lleida;25;342025;4627901;1.098859253;41.787239279
Anglesola;Anglesola;Anglesola;Anglesola;250273;25027;Urgell;38;URG;Lleida;25;340255;4613680;1.081379442;41.658868197
Belianes;Belianes;Belianes;Belianes;250463;25046;Urgell;38;URG;Lleida;25;334689;4603015;1.017511477;41.561728116
Bellpuig;Bellpuig;Bellpuig;Bellpuig;250501;25050;Urgell;38;URG;Lleida;25;334324;4610161;1.011153698;41.625979583
Castellserà;Castellserà;Castellserà;Castellserà;250707;25070;Urgell;38;URG;Lleida;25;332622;4623634;0.986958685;41.746900004
Ciutadilla;Ciutadilla;Ciutadilla;Ciutadilla;250740;25074;Urgell;38;URG;Lleida;25;344844;4602779;1.139284506;41.561635518
Guimerà;Guimerà;Guimerà;Guimerà;251095;25109;Urgell;38;URG;Lleida;25;348678;4602993;1.185197254;41.564300977
Maldà;Maldà;Maldà;Maldà;251305;25130;Urgell;38;URG;Lleida;25;336544;4601774;1.040077271;41.550940403
Nalec;Nalec;Nalec;Nalec;251459;25145;Urgell;38;URG;Lleida;25;342829;4602661;1.11516823;41.560181134
Ossó de Sió;Ossó de Sió;Ossó de Sió;Ossó de Sió;251575;25157;Urgell;38;URG;Lleida;25;346982;4624198;1.159434416;41.754880026
Preixana;Preixana;Preixana;Preixana;251765;25176;Urgell;38;URG;Lleida;25;336484;4608090;1.037644841;41.607780658
Puigverd d'Agramunt;Puigverd d'Agramunt;Puigverd d'Agramunt;Puigverd d'Agramunt;251811;25181;Urgell;38;URG;Lleida;25;343927;4626753;1.122034943;41.777278312
Sant Martí de Riucorb;Sant Martí de Riucorb;Sant Martí de Maldà;Sant Martí de Maldà;259025;25902;Urgell;38;URG;Lleida;25;337770;4602658;1.054532188;41.559144039
Tornabous;Tornabous;Tornabous;Tornabous;252252;25225;Urgell;38;URG;Lleida;25;338006;4618484;1.053080289;41.701659826
Tàrrega;Tàrrega;Tàrrega;Tàrrega;252173;25217;Urgell;38;URG;Lleida;25;345054;4612190;1.13936906;41.64640449
Vallbona de les Monges;Vallbona de les Monges;Vallbona de les Monges;Vallbona de les Monges;252385;25238;Urgell;38;URG;Lleida;25;340524;4598805;1.088563444;41.525015755
Verdú;Verdú;Verdú;Verdú;252424;25242;Urgell;38;URG;Lleida;25;345323;4608161;1.143637907;41.610182657
Vilagrassa;Vilagrassa;Vilagrassa;Vilagrassa;252445;25244;Urgell;38;URG;Lleida;25;342260;4612490;1.10576315;41.648557721
els Omells de na Gaia;Omells de na Gaia, els;els Omells de na Gaia;Omells de na Gaia, els;251543;25154;Urgell;38;URG;Lleida;25;339321;4596039;1.074888402;41.499870775
la Fuliola;Fuliola, la;la Fuliola;Fuliola, la;250962;25096;Urgell;38;URG;Lleida;25;335160;4619810;1.018525477;41.713010708
Arres;Arres;Arres de Jos;Arres de Jos;250313;25031;Val d'Aran;39;VAR;Lleida;25;312715;4736137;0.71138294;42.754900684
Bausen;Bausen;Bausen;Bausen;250450;25045;Val d'Aran;39;VAR;Lleida;25;313405;4744984;0.716881022;42.834669843
Bossòst;Bossòst;Bossòst;Bossòst;250595;25059;Val d'Aran;39;VAR;Lleida;25;311223;4739589;0.692016272;42.785593957
Canejan;Canejan;Canejan;Canejan;250637;25063;Val d'Aran;39;VAR;Lleida;25;315289;4745323;0.739804236;42.838178118
Es Bòrdes;Bòrdes, Es;Es Bòrdes;Bòrdes, Es;250576;25057;Val d'Aran;39;VAR;Lleida;25;313308;4734245;0.719252514;42.738018737
Les;Les;Les;Les;251214;25121;Val d'Aran;39;VAR;Lleida;25;312806;4742268;0.710457379;42.810089167
Naut Aran;Naut Aran;Salardú;Salardú;250254;25025;Val d'Aran;39;VAR;Lleida;25;328113;4730382;0.901170239;42.706712131
Vielha e Mijaran;Vielha e Mijaran;Vielha;Vielha;252430;25243;Val d'Aran;39;VAR;Lleida;25;319458;4730076;0.795650851;42.70196997
Vilamòs;Vilamòs;Vilamòs;Vilamòs;252477;25247;Val d'Aran;39;VAR;Lleida;25;313961;4735275;0.726886536;42.747441963
Badia del Vallès;Badia del Vallès;Badia del Vallès;Badia del Vallès;089045;08904;Vallès Occidental;40;VOC;Barcelona;08;426007;4595651;2.113347047;41.509070517
Barberà del Vallès;Barberà del Vallès;Barberà del Vallès;Barberà del Vallès;082520;08252;Vallès Occidental;40;VOC;Barcelona;08;426954;4596420;2.124595576;41.516082587
Castellar del Vallès;Castellar del Vallès;Castellar del Vallès;Castellar del Vallès;080517;08051;Vallès Occidental;40;VOC;Barcelona;08;423955;4607686;2.087229617;41.617268216
Castellbisbal;Castellbisbal;Castellbisbal;Castellbisbal;080543;08054;Vallès Occidental;40;VOC;Barcelona;08;414881;4591980;1.980556465;41.474905372
Cerdanyola del Vallès;Cerdanyola del Vallès;Cerdanyola del Vallès;Cerdanyola del Vallès;082665;08266;Vallès Occidental;40;VOC;Barcelona;08;428260;4593656;2.140571964;41.491307302
Gallifa;Gallifa;Gallifa;Gallifa;080879;08087;Vallès Occidental;40;VOC;Barcelona;08;426393;4616095;2.115452621;41.693234907
Matadepera;Matadepera;Matadepera;Matadepera;081206;08120;Vallès Occidental;40;VOC;Barcelona;08;418862;4605471;2.026405601;41.596819281
Montcada i Reixac;Montcada i Reixac;Montcada;Montcada;081252;08125;Vallès Occidental;40;VOC;Barcelona;08;432213;4593095;2.18799215;41.486605137
Palau-solità i Plegamans;Palau-solità i Plegamans;Palau-solità i Plegamans;Palau-solità i Plegamans;081568;08156;Vallès Occidental;40;VOC;Barcelona;08;431533;4604291;2.178570418;41.587377763
Polinyà;Polinyà;Polinyà;Polinyà;081672;08167;Vallès Occidental;40;VOC;Barcelona;08;429666;4601006;2.156558703;41.557632516
Rellinars;Rellinars;Rellinars;Rellinars;081799;08179;Vallès Occidental;40;VOC;Barcelona;08;409285;4610086;1.910811449;41.637352874
